date,open,high,low,close,volume,Name
07-02-2018,73.08,74.5,72.91,72.97,1764506,HSIC
07-02-2018,19.36,19.78,19.3,19.45,6285763,HST
07-02-2018,101,101.33,99.03,99.04,1664127,HSY
07-02-2018,263,268.39,260,264.9,1686540,HUM
07-02-2018,154.17,155.34,153.28,153.85,6149207,IBM
07-02-2018,70.23,72.56,70.23,70.72,4418942,ICE
07-02-2018,179.58,180.43,175.71,176.83,681545,IDXX
07-02-2018,141.97,144.86,141.42,142.7,352295,IFF
07-02-2018,218.85,223.64,216.77,221.2,1116021,ILMN
07-02-2018,87.25,88.05,86.09,86.34,1254563,INCY
07-02-2018,45.54,46.145,45.14,45.17,1657559,INFO
07-02-2018,44.58,46.3,44.34,45.2,37508414,INTC
07-02-2018,159.75,165.305,159.14,161.29,1673535,INTU
07-02-2018,20.96,21.67,20.94,21.3,4599153,IPG
07-02-2018,59.33,60.5995,59.1322,59.25,3871397,IP
07-02-2018,98.19,100.25,98.16,98.21,904991,IQV
07-02-2018,32.95,33.93,32.71,33.18,2566697,IRM
07-02-2018,91.73,93.61,91.15,91.19,2110075,IR
07-02-2018,407.12,410.88,396.34,399.53,770645,ISRG
07-02-2018,163.65,167.65,163.12,163.44,1631676,ITW
07-02-2018,123.13,123.98,119.41,119.45,1640484,IT
07-02-2018,33.54,34.36,33.43,33.46,4163004,IVZ
07-02-2018,115.86,119.16,115.83,117.95,1355671,JBHT
07-02-2018,37.51,38.235,37.45,37.6,5186837,JCI
07-02-2018,64.1,67.1,62.92,66.01,2075078,JEC
07-02-2018,131.89,133.43,131.35,131.42,10550411,JNJ
07-02-2018,25.51,25.73,25.26,25.39,3196055,JNPR
07-02-2018,111.55,114.45,111.146,112.87,21878324,JPM
07-02-2018,49.35,50.15,48.5,49.3,2221331,JWN
07-02-2018,20.92,21.45,20.85,21.13,12236177,KEY
07-02-2018,73.84,74.71,73.52,73.55,6753689,KHC
07-02-2018,14.67,14.9406,14.51,14.52,5589427,KIM
07-02-2018,104.37,105.43,102.07,102.66,1631087,KLAC
07-02-2018,114.12,115.02,112.25,112.36,2418910,KMB
07-02-2018,17.3,17.54,17.23,17.29,19359688,KMI
07-02-2018,64.89,66.06,64.59,65.4,1880342,KMX
07-02-2018,69.59,69.95,64.73,66.11,6724702,KORS
07-02-2018,44.58,45.495,44.28,44.56,18041614,KO
07-02-2018,29.05,29.46,28.835,28.9,7550458,KR
07-02-2018,62.9,63.99,62.43,62.92,3077339,KSS
